"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Pop_100m","Roads_100m","Benzene"
604438,5047465,42,23.71901359,69.28911821,0,87.73026317,22573.93693,84.1650448,435.5571255,1.21956957678316
604478,5036481,83,5.4597826,67.00105124,1957.601951,1563.824038,15827.04234,281.7729809,985.1431682,0.802008006745642
604538,5044976,59,9.254771975,106.48026,989.7848196,0,31374.93713,204.7716632,535.5153583,1.35966058740233
605058,5048473,41,1.078065041,16.41942759,360.8994697,0,25370.85646,100.1686005,349.4555785,1.06294347236683
605165,5041810,56,816.7327799,6613.743712,2744.512966,8118.37554,15197.44553,219.3916934,1173.826536,1.41581808714953
605401,5030989,89,0.271705757,1.658698506,2422.442937,0,17551.49915,100.4798165,501.2454861,0.815784677970783
605439,5032674,88,7.883234419,11.05961814,6588.869905,1184.985857,0,23.22037623,105.5910692,1.06910397397476
605871,5038473,54,242.6422048,2072.029322,3285.14276,2636.67289,27791.14688,261.3471476,814.0948574,1.32230251235521
605890,5049824,19,31.26038918,333.6585559,444.3117391,2652.66822,12251.16959,201.4106409,370.2457706,1.05202868704281
605903,5050600,18,18.28011584,303.4542138,1773.221183,208.5718579,31166.36527,199.0257447,389.4623441,1.32291339230038
605916,5044483,58,7.566486164,119.0125525,4176.020552,0,25067.45532,300.9419535,556.3138904,1.45835316759241
605949,5036014,82,9.784673943,46.12383009,0,0,31374.93713,315.7652211,474.5687215,0.916488355305073
605952,5042968,57,14.87289288,106.7169765,9289.085506,0,31106.92344,712.7345245,674.5828101,1.39094427093648
606373,5047029,43,7.335500568,117.6405935,3458.81669,120.7801886,14288.38762,189.514508,363.666323,1.36281589564127
606448,5048510,20,19.59416758,181.07453,5441.240744,0,11825.0738,195.9143405,697.6600386,1.45026507365857
606882,5040044,51,9.188943957,44.68981754,1494.979802,0,16389.28837,193.9870536,325.7876465,0.856794847797171
607350,5053455,16,11.81373128,23.77274321,4355.283217,0,12733.57229,332.8462748,197.4048955,0.949886913091205
607354,5045567,44,89.46236779,1232.862603,3401.07471,7933.862002,23441.07513,75.09203013,994.9325938,1.49715184291089
607393,5042024,48,13.06943235,166.1785904,2760.336847,54.09099513,26604.92467,98.7930399,367.3811991,1.06729039592001
607403,5031001,90,2.733689111,46.96527997,5479.130974,0,16734.45616,86.04790779,406.8929353,0.999775318826584
607434,5037513,53,245.7965985,1483.656106,0,2868.139663,28506.79747,251.9398324,738.8971331,0.747090935934815
607446,5048889,21,25.9457668,210.9932515,8432.33576,0,13341.80599,129.6499972,417.205193,1.45312336297999
607579,5043481,47,48.32344869,602.8526038,8686.740901,2292.262305,21046.773,284.342939,755.9999509,2.19103100477106
607864,5051541,17,2.14387518,42.84567537,5333.379859,0,28790.8228,336.5248254,486.7759924,1.56868270404948
607869,5039039,52,19.91736857,310.9292501,6777.22273,0,15916.98973,301.5450524,521.972566,1.02732944864474
608181,5036661,80,596.1108881,10499.94637,1986.192725,3326.760084,26741.90988,215.6251727,962.5106003,1.13758740937633
608206,5040690,50,32.6279993,787.3767033,5055.831266,621.6438851,18282.66627,405.3362452,457.674264,1.20271665758137
608416,5048427,22,21.343563,246.4844768,2489.555512,0,31374.93713,318.8511967,420.3032548,1.74760282893847
608885,5043459,46,20.86927249,89.37153826,9215.396047,0,30359.75804,330.9712202,364.1265278,1.49619015198338
608897,5054999,15,2.583043746,34.11028762,440.254613,0,21698.12009,70.43236714,351.8256291,0.946146274525308
608903,5046136,45,10.09124695,166.5532003,11624.03246,15.82104157,14475.48663,261.1614705,390.4484199,1.84230066071472
608908,5041964,49,47.85339318,401.8082595,11287.47005,0,31374.93713,522.6644755,523.2062588,1.42541075853818
