lon,lat,id,eu_dem_v11_E40N10,eu_dem_v11_E50N20,eu_dem_v11_E20N20,eu_dem_v11_E30N10,eu_dem_v11_E40N20,eu_dem_v11_E20N10,eu_dem_v11_E50N30,eu_dem_v11_E30N20,eu_dem_v11_E50N10,eu_dem_v11_E40N30,eu_dem_v11_E30N40,eu_dem_v11_E30N30
-1.558,46.162,457661,,,,,,,,,,,,
-1.775,47.138,457650,,,,,,,,30.14112,,,,
-1.755,47.050,457651,,,,,,,,22.43302,,,,
-1.816,47.316,457648,,,,,,,,76.72035,,,,
-1.795,47.227,457649,,,,,,,,1.88136,,,,
-1.695,46.784,457654,,,,,,,,44.16890,,,,
-1.675,46.695,457655,,,,,,,,44.68013,,,,
-1.735,46.961,457652,,,,,,,,17.73260,,,,
-1.715,46.872,457653,,,,,,,,39.18650,,,,
-2.660,50.680,457610,,,,,,,,,,,,59.33245
-2.635,50.591,457611,,,,,,,,,,,,
-2.708,50.857,457608,,,,,,,,,,,,136.18948
-2.684,50.768,457609,,,,,,,,,,,,116.36000
-2.857,51.386,457602,,,,,,,,,,,,5.37884
-2.832,51.298,457603,,,,,,,,,,,,51.90444
-2.907,51.563,457600,,,,,,,,,,,,7.52734
-2.882,51.475,457601,,,,,,,,,,,,
-2.757,51.033,457606,,,,,,,,,,,,39.46659
-2.733,50.945,457607,,,,,,,,,,,,128.30705
-2.807,51.210,457604,,,,,,,,,,,,22.92000
-2.782,51.121,457605,,,,,,,,,,,,34.10997
-5.153,37.541,424810,,,,,,182.41666,,,,,,
-3.385,53.150,457582,,,,,,,,,,,,162.00000
-5.133,37.452,424811,,,,,,207.05180,,,,,,
-3.357,53.062,457583,,,,,,,,,,,,238.56000
-5.193,37.719,424808,,,,,,118.12859,,,,,,
-3.440,53.326,457580,,,,,,,,,,,,4.69000
-5.173,37.630,424809,,,,,,99.01298,,,,,,
-3.412,53.238,457581,,,,,,,,,,,,15.44945
-5.074,37.186,424814,,,,,,395.88608,,,,,,
-5.055,37.097,424815,,,,,,425.87265,,,,,,
-5.114,37.364,424812,,,,,,155.39867,,,,,,
-5.094,37.275,424813,,,,,,212.95970,,,,,,
-5.314,38.251,424802,,,,,,800.21759,,,,,,
-5.294,38.162,424803,,,,,,511.80341,,,,,,
22.523,49.603,588650,,,,,,,486.74484,,,,,
-5.355,38.428,424800,,,,,,576.94531,,,,,,
22.500,49.514,588651,,,,,,,491.50491,,,,,
-5.334,38.340,424801,,,,,,552.74487,,,,,,
22.569,49.780,588648,,,,,,,221.73059,,,,,
-5.233,37.896,424806,,,,,,362.27271,,,,,,
22.546,49.691,588649,,,,,,,439.73581,,,,,
-3.062,52.092,457594,,,,,,,,,,,,155.60622
-5.213,37.808,424807,,,,,,111.84001,,,,,,
22.431,49.249,588654,,732.58289,,,,,,,,,,
-3.036,52.004,457595,,,,,,,,,,,,269.38480
-5.273,38.074,424804,,,,,,576.46106,,,,,,
22.408,49.161,588655,,900.67719,,,,,,,,,,
-3.114,52.269,457592,,,,,,,,,,,,314.47290
-5.253,37.985,424805,,,,,,376.36755,,,,,,
22.477,49.426,588652,,,,,,,497.70380,,,,,
-3.088,52.180,457593,,,,,,,,,,,,257.11090
22.454,49.337,588653,,446.76843,,,,,,,,,,
-2.958,51.739,457598,,,,,,,,,,,,89.70673
22.711,50.310,588642,,,,,,,227.65005,,,,,
-2.933,51.651,457599,,,,,,,,,,,,67.87609
22.687,50.222,588643,,,,,,,187.25172,,,,,
-3.010,51.916,457596,,,,,,,,,,,,312.58627
22.760,50.487,588640,,,,,,,210.37488,,,,,
-2.984,51.828,457597,,,,,,,,,,,,167.96001
22.736,50.398,588641,,,,,,,194.74135,,,,,
-3.275,52.798,457586,,,,,,,,,,,,224.74538
22.616,49.956,588646,,,,,,,247.57281,,,,,
-3.248,52.709,457587,,,,,,,,,,,,84.05919
22.593,49.868,588647,,,,,,,306.14722,,,,,
-3.329,52.974,457584,,,,,,,,,,,,257.55472
22.664,50.133,588644,,,,,,,185.50549,,,,,
-3.302,52.886,457585,,,,,,,,,,,,538.98987
-4.997,36.830,424818,,,,,,804.92603,,,,,,
22.640,50.045,588645,,,,,,,206.47290,,,,,
-3.167,52.445,457590,,,,,,,,,,,,286.03671
-4.978,36.741,424819,,,,,,861.41046,,,,,,
-3.141,52.357,457591,,,,,,,,,,,,290.97345
-5.035,37.008,424816,,,,,,520.16223,,,,,,
-3.221,52.621,457588,,,,,,,,,,,,184.61548
-5.016,36.919,424817,,,,,,537.08563,,,,,,
-3.194,52.533,457589,,,,,,,,,,,,277.27136
-4.920,36.474,424822,,,,,,,,,,,,
-4.479,56.315,457546,,,,,,,,,,,,527.34631
-4.446,56.228,457547,,,,,,,,,,,,359.23767
-4.958,36.652,424820,,,,,,469.53708,,,,,,
-4.547,56.491,457544,,,,,,,,,,,,483.28278
-4.939,36.563,424821,,,,,,657.22327,,,,,,
-4.513,56.403,457545,,,,,,,,,,,,441.95270
-5.827,40.375,424778,,,854.70734,,,,,,,,,
-4.347,55.964,457550,,,,,,,,,,,,117.84579
-5.804,40.286,424779,,,1291.67175,,,,,,,,,
-4.315,55.876,457551,,,,,,,,,,,,17.93538
-5.871,40.551,424776,,,922.39703,,,,,,,,,
-4.413,56.140,457548,,,,,,,,,,,,86.15282
