,ID,X,Y,ORIG_FID,Av_NOx_50m,Av_traffic_50m,Building_50m,Open Area_50m,Residential_50m,Resource and Industrial_50m,Waterbody_50m,Parks and Recreational_50m,Government and Institutional_50m,Commercial_50m,Pop_50m,Roads_50m,Tot_NOx_50m,Tot_traffic_50m,Av_NOx_100m,Av_traffic_100m,Building_100m,Open Area_100m,Residential_100m,Resource and Industrial_100m,Waterbody_100m,Parks and Recreational_100m,Government and Institutional_100m,Commercial_100m,Pop_100m,Roads_100m,Tot_NOx_100m,Tot_traffic_100m,Av_NOx_200m,Av_traffic_200m,Building_200m,Open Area_200m,Residential_200m,Resource and Industrial_200m,Waterbody_200m,Parks and Recreational_200m,Government and Institutional_200m,Commercial_200m,Pop_200m,Roads_200m,Tot_NOx_200m,Tot_traffic_200m,Av_NOx_500m,Av_traffic_500m,Building_500m,Open Area_500m,Residential_500m,Resource and Industrial_500m,Waterbody_500m,Parks and Recreational_500m,Government and Institutional_500m,Commercial_500m,Pop_500m,Roads_500m,Tot_NOx_500m,Tot_traffic_500m,Av_NOx_1000m,Av_traffic_1000m,Building_1000m,Open Area_1000m,Residential_1000m,Resource and Industrial_1000m,Waterbody_1000m,Parks and Recreational_1000m,Government and Institutional_1000m,Commercial_1000m,Pop_1000m,Roads_1000m,Tot_NOx_1000m,Tot_traffic_1000m
22,22,608416,5048427,21,10.49199839,120.9910287,1334.631717,NA,7833.327098,NA,NA,NA,NA,NA,81.15434434,153.4501589,251.8079678,2903.784666,21.343563,246.4844768,2489.555512,NA,31374.93713,NA,NA,NA,NA,NA,318.8511967,420.3032548,512.2455232,5915.627393,61.64997601,808.9125358,2959.449632,378.3532432,123669.5071,NA,NA,NA,1533.178763,NA,1280.653087,2245.750952,1479.599438,19413.90084,310.8669342,3678.553159,59729.81712,21947.78425,633061.1892,NA,NA,46463.55312,83718.64658,NA,9133.021329,12734.4505,7460.806377,88285.27612,1671.968169,19493.50551,343960.0408,316860.131,2307483.512,146641.2128,NA,194652.5174,175539.6266,NA,27901.68507,47861.6208,40127.23617,467844.1322
23,23,608903,5047013,22,1.526577157,7.769089025,3239.661694,NA,7833.327098,NA,NA,NA,NA,NA,40.56249156,135.7365779,36.63785397,186.458135,13.04767232,172.1621582,11607.88315,NA,30168.4112,1206.52593,NA,NA,NA,NA,156.7181973,520.643184,313.1441418,4131.891848,743.5867712,16101.58872,48477.59269,12114.20256,88666.07581,24800.76069,NA,NA,NA,NA,623.5501834,2807.487105,17846.08158,386438.1332,4076.67471,75106.92123,221082.2169,148724.8133,468879.8936,121494.6071,NA,7346.337817,38745.52132,NA,3861.902503,15585.1765,97840.19068,1802566.124,10037.50114,149572.2735,609369.7258,509849.6443,1929714.691,316759.7712,NA,102935.6368,162730.5464,119186.711,20625.06906,54662.58798,240900.0292,3589734.583
24,24,609895,5048005,23,9.533832689,57.6400539,7.798737375,NA,7833.327098,NA,NA,NA,NA,NA,57.3138968,99.56483728,228.8119807,1383.36124,19.67642363,119.661975,2702.402685,2811.24452,26979.82859,1583.864017,NA,NA,NA,NA,230.0051849,348.2085407,472.2341587,2871.887291,938.685529,9698.848352,10322.88875,32292.6067,74395.32714,17704.01534,NA,NA,569.5727876,619.5170884,855.7623798,3316.088345,22528.45136,232772.3615,3834.109204,43512.59752,97317.99939,124428.3571,430058.8626,36192.47507,NA,49898.3686,57979.43392,86633.67587,4530.85102,15473.41624,92018.61937,1044302.339,9237.544201,124728.4268,370781.0804,280202.308,1890387.942,147954.4256,NA,201126.2348,150637.7056,470868.3838,22364.23866,56733.3799,221701.0625,2993482.246
25,25,610447,5048850,24,4.908493841,73.99924237,512.0097683,NA,NA,4560.520095,NA,NA,3272.807003,NA,72.00850977,158.066226,117.8038439,1775.981769,11.07841536,166.7124756,4345.928003,NA,2790.467499,20619.47317,NA,NA,7964.996467,NA,314.1759035,451.6214118,265.8819566,4001.099309,401.588501,3431.998531,19000.45587,5108.036426,27591.39077,74036.19907,NA,NA,18845.4128,NA,1302.359161,2282.761709,9638.124279,82367.96482,3464.924857,35092.81776,105609.1591,88895.02336,416671.3778,134109.0261,NA,69175.38156,53619.32544,22721.03891,6378.265853,15851.16865,83158.19559,842227.6251,8090.304445,73640.07515,303071.7962,180490.7201,2092559.363,176168.4709,NA,280662.0184,209074.8685,202221.5594,23756.24944,55190.24741,194167.3037,1767361.806
26,26,611350,5046538,25,3.103754784,24.46843714,2929.262161,NA,7833.327098,NA,NA,NA,NA,NA,105.3646526,99.6831647,74.49010294,587.2424744,26.49253634,298.9494091,9098.988476,NA,29215.32428,NA,NA,NA,2159.612856,NA,407.1724095,618.8942825,635.8208487,7174.785792,161.4971442,3102.38809,25738.94851,3349.19926,91183.7583,NA,NA,17809.00973,13239.07177,NA,1421.349675,2476.498655,3875.93136,74457.31489,789.7299189,10848.4316,119700.5437,56740.61173,373824.6767,NA,NA,256570.3244,98055.5603,NA,6424.860936,11784.68648,18953.51803,260362.3589,2217.485091,24584.70262,388744.0802,96777.44792,1778696.977,2443.466245,NA,1042963.797,220295.3112,NA,24662.9856,41940.03046,53219.64237,590032.8644
27,27,612419,5048498,26,10.65319403,186.7338561,NA,409.6423505,7423.684747,NA,NA,NA,NA,NA,104.8300333,200.395451,255.6766544,4481.612574,37.80950109,689.5758846,194.0848438,1538.724784,29795.33944,NA,NA,NA,40.87290808,NA,382.3426756,857.7364199,907.428036,16549.8212,95.45832028,1372.485794,6684.005068,4342.101477,110905.6018,NA,NA,NA,10333.3358,NA,1213.531005,2760.577801,2290.999708,32939.65885,558.3560197,5672.604319,43158.39401,23159.70313,470170.1557,NA,NA,108894.7615,182966.5529,NA,4981.328751,12487.88025,13400.54453,136142.5035,1820.840214,23762.42282,185450.049,105571.3782,2178655.608,NA,NA,317393.7093,539556.3042,NA,21846.39712,50394.69154,43700.16499,570298.1459
28,28,613827,5048033,27,3.700237555,37.95274079,1138.104872,NA,4633.229138,NA,NA,3200.09796,NA,NA,71.45614275,98.86624055,88.80570068,910.8657892,9.289931259,126.0772654,4618.288279,NA,19192.97629,NA,NA,12181.96084,NA,NA,318.9861131,462.0870674,222.9583539,3025.854381,28.67548372,380.5437854,21165.35982,NA,97680.74715,NA,NA,27900.29191,NA,NA,1518.086328,1857.558289,688.2116148,9133.050798,226.0364046,3075.282286,146820.5481,6783.201347,608922.0723,NA,NA,39427.15237,114567.8052,15490.94194,7930.054598,11981.9177,5424.873738,73806.77474,1895.522023,18659.01393,456810.8027,194833.2058,1862936.078,290801.5666,NA,267436.0522,458573.2657,66596.83151,19260.62265,46917.31162,45492.52883,447816.3348
29,29,614916,5046032,28,10.92337297,240.9659167,1069.775555,177.7506148,3609.673807,NA,NA,4045.902676,NA,NA,17.63173271,136.4904048,262.1609298,5783.181962,83.5567208,1728.72232,3042.221032,5365.651185,17151.20927,NA,NA,7483.292771,1374.783906,NA,93.72030248,972.4871212,2005.361254,41489.33597,189.2224452,3515.208919,14605.37623,20240.5107,63310.82319,20571.93616,NA,12239.95374,9217.815265,NA,604.8918458,2622.428219,4541.338625,84365.01413,490.2233189,6584.171384,61171.92259,62333.30945,219603.3561,360903.97,71421.40428,37410.49345,33518.63992,NA,3444.917786,8374.485398,11765.35935,158020.1128,1235.626853,14018.48811,353990.6643,250436.639,702252.7833,1227000.495,795705.9324,99041.35592,66739.79475,NA,11281.03215,24348.4531,29655.04437,336443.714
30,30,613888,5044500,29,0.263913295,4.260775019,2843.305511,NA,4749.965721,NA,NA,NA,3083.361377,NA,97.14568532,106.3083451,6.333919534,102.2586029,8.647413244,131.466604,9556.52711,NA,19191.41941,NA,NA,817.3756692,11366.14205,NA,416.6374636,492.7914916,207.5379237,3155.198551,35.19437876,520.1589575,37328.51861,38.58400212,93094.20687,NA,NA,10203.38488,22244.86331,NA,1859.355817,2393.203419,844.6651154,12483.81507,608.3865752,5242.304871,211969.0258,9450.284523,648155.798,21958.77953,NA,47550.97563,58075.33545,NA,10019.00546,15068.02423,14601.27801,125815.317,2181.218284,21514.92409,660247.3017,49260.67096,1746782.911,570404.6651,354705.0673,196104.6594,222273.0172,1646.00862,26320.47456,47088.67961,52349.23951,516358.1769
31,31,612886,5045388,30,6.185543648,41.71242827,1641.997756,894.0135324,6939.313565,NA,NA,NA,NA,NA,108.9669455,114.689489,148.4530487,1001.098306,46.58511687,818.6608865,6842.715856,2505.254672,28869.68246,NA,NA,NA,NA,NA,422.3953462,662.195752,1118.042843,19647.86125,216.7204256,3339.242727,18889.86314,10568.70372,101557.5223,188.7105543,NA,8012.669471,5253.433033,NA,1460.109062,3156.7871,5201.290047,80141.82612,740.5181282,9301.485484,133293.225,29503.59693,429434.4521,58511.23163,NA,156908.3953,110833.4971,NA,6889.060705,12771.87371,17772.43484,223235.6528,2078.91905,25252.31935,651796.9589,72011.88524,1728764.979,362192.0309,NA,795859.7576,182224.5307,123.8161714,28598.93555,42621.9535,49894.05707,606055.6635
32,32,612509,5044008,31,25.29814016,472.2459175,1303.938703,NA,4258.170707,NA,NA,NA,NA,3575.156391,57.46934459,99.6039909,607.155377,11333.90189,50.74740004,954.682403,4653.230163,NA,17411.27369,NA,NA,NA,NA,13963.66344,230.0650012,426.991687,1217.937623,22912.3774,114.0589172,1953.236159,21800.4199,NA,78227.33414,NA,NA,NA,NA,47353.70492,901.3832938,1114.809191,2737.414107,46877.66776,619.2850467,9737.64944,172404.0347,1758.210715,458011.6071,158233.5193,NA,19006.78942,46286.44102,101894.6057,5382.248662,9515.506265,14862.84117,233703.5874,2137.494365,33019.09471,743084.4644,31633.15494,2071876.7,555273.7629,NA,186209.0537,194289.7227,101894.6057,29838.3346,46985.88752,51299.86502,792458.2747
33,33,610397,5045474,32,1.213780877,5.638828854,NA,NA,7833.327098,NA,NA,NA,NA,NA,59.81172522,96.19713821,29.13074159,135.3318879,27.21080831,153.4203049,1413.08721,NA,31374.93713,NA,NA,NA,NA,NA,233.3268021,423.3189243,653.0594106,3682.087258,122.1945493,1172.224019,14151.17865,718.5569512,114585.3362,7736.033654,NA,2541.112238,NA,NA,868.4711682,2006.582099,2932.66918,28133.37639,684.2525856,7906.561834,122914.1979,11648.13478,522181.8496,51362.00898,NA,71632.17575,128367.004,NA,6021.798595,11867.03576,16422.06188,189757.4841,2493.009716,29644.5709,620944.7391,22463.30244,2391253.061,51362.00898,NA,306451.3015,369647.3266,NA,31115.19399,49612.89372,59832.23248,711469.7016
34,34,609892,5044510,33,4.683697393,23.00299434,2672.45673,NA,7833.327098,NA,NA,NA,NA,NA,88.15259001,99.99105708,112.4087356,552.0718834,21.86437502,106.9167205,9923.6664,NA,30706.03856,NA,NA,NA,668.8985714,NA,353.6431311,363.2409208,524.7450071,2566.001325,126.4250426,1121.049069,40105.54102,NA,100658.7308,NA,NA,NA,24922.30825,NA,1500.486947,1983.716948,3034.201043,26905.17777,1074.593522,11791.64502,227043.6566,386.6753437,711926.2513,NA,NA,29832.35152,43045.895,NA,9200.725513,12799.13586,25790.24449,282999.4807,3887.146545,43606.53576,826212.8556,9683.154708,2470055.18,195490.1441,NA,300222.3077,165726.2135,NA,33010.4243,49338.75898,93291.5166,1046556.858
35,35,610850,5043971,34,10.25522254,122.0686198,727.9978445,976.5142875,6856.81281,NA,NA,NA,NA,NA,25.71432516,301.6512849,246.1253296,2929.646861,26.89123501,579.5487272,7514.614707,2225.741717,29115.03059,34.1648264,NA,NA,NA,NA,146.6692557,973.6504325,645.3896197,13909.16943,130.9575843,1923.193272,35846.18178,3690.854325,100384.612,21505.57276,NA,NA,NA,NA,763.360339,2333.487669,3142.982041,46156.63832,1046.228399,13447.32935,250665.3223,15150.89086,569452.1497,160205.4294,NA,25741.72154,14640.98167,NA,6433.573658,14231.89162,25109.48152,322735.9041,3734.4941,52490.6125,918169.4258,44862.214,2312261.631,455192.045,NA,207568.7923,121292.3182,NA,33337.75242,54721.56356,89627.85808,1259774.7
36,36,610439,5042987,35,4.662019411,60.62632595,879.9836592,NA,2496.002495,NA,NA,5108.667106,228.657497,NA,69.27379008,122.9811982,111.8884677,1455.031806,9.575368826,135.3089843,4599.671677,NA,9538.236252,NA,NA,18073.42299,3763.277894,NA,301.0927166,339.4896671,229.8088547,3247.415609,55.24213891,756.707347,26505.67583,2020.239197,54667.17771,NA,NA,55771.10897,13122.51318,NA,1237.268165,1729.400491,1325.811341,18160.97632,637.9648369,10447.73101,228656.2231,11537.16537,535985.8241,39746.93966,NA,116507.0622,81414.18189,NA,9933.198583,15213.52323,15311.15612,250745.5445,3652.810854,56457.08385,985606.7766,47663.70248,2331305.359,355506.3615,NA,223880.0954,182821.4821,NA,39196.88347,62624.69609,87667.46033,1354970.011
37,37,611375,5042442,36,20.47091997,411.4900409,3220.518472,NA,6804.355122,NA,NA,1028.971976,NA,NA,146.2549505,280.5673662,491.3020885,9875.760867,57.70863268,1128.02012,8338.567121,83.57928437,21724.64362,NA,NA,9564.355184,2.359046019,NA,465.9059225,802.7482213,1385.00722,27072.48269,147.7286674,3672.849132,28842.52197,113.6571114,67580.34424,NA,4602.910048,41126.05194,12158.07572,NA,1447.630545,2454.800198,3545.488096,88148.37873,713.2009808,12449.17458,202699.7345,113.6571114,506247.5954,NA,20980.08569,221327.7352,36522.10061,NA,8888.607188,14152.50019,17116.8237,298780.1899,3789.318064,54979.12974,957200.3586,17203.94478,2332712.898,NA,27633.52264,471839.9096,291786.7251,NA,39988.40297,60044.53065,90943.63382,1319499.114
38,38,612808,5042073,37,2.777124216,39.88840354,2096.348728,NA,3594.746159,NA,NA,NA,4238.580938,NA,66.95356055,174.393745,66.65098207,957.3216759,38.49698319,626.4725171,9110.478188,NA,19551.18843,NA,NA,15.43189593,11808.31681,NA,308.3021969,544.2586972,923.9276099,15035.34067,201.8086251,3764.075666,32347.50463,190.1139375,101765.9912,NA,NA,9304.42877,14320.50517,NA,1385.903485,2473.829267,4843.407027,90337.81753,2111.516877,44706.25511,209802.882,20776.30922,622594.3937,NA,NA,56539.22571,85281.24453,NA,7892.19083,17407.59623,50676.40566,1072950.124,6869.090278,124219.4028,766693.35,177443.6936,1993418.651,174917.4875,86373.93922,265412.3248,399670.7253,43940.17833,27366.76152,61884.45003,164858.1674,2981265.664
39,39,612985,5040479,38,1.714167181,64.70130382,1936.105219,NA,71.09500027,NA,NA,NA,7762.232097,NA,32.91016238,134.7504306,41.14001255,1552.83126,11.0905738,414.5572643,8866.596766,NA,13794.62838,NA,NA,NA,17580.30875,NA,131.8155444,741.2995211,266.173773,9949.374212,79.72594957,1599.335561,39515.97478,5664.729392,89866.62318,NA,NA,NA,30049.68649,NA,513.8551261,2888.701674,1913.422828,38384.05344,2006.990969,41623.31624,174705.7033,60895.2592,367780.1873,11505.1455,49647.89464,180856.7128,94252.97395,20250.85981,3507.541387,16038.42735,48167.78311,998959.5888,4857.422757,92089.51075,631568.2921,160354.1852,1363841.081,211034.9378,747930.5354,345054.6212,252145.9402,60813.55897,13858.62906,53142.26143,116578.1456,2210148.254
40,40,611386,5040458,39,5.141723009,90.05592275,2816.243541,NA,7833.327098,NA,NA,NA,NA,NA,236.7034304,195.7681329,123.4013577,2161.342114,21.20201605,261.9467683,12935.15005,NA,31374.93713,NA,NA,NA,NA,NA,956.8432538,626.3302669,508.8483955,6286.722382,62.58586069,704.8250307,51819.92958,NA,125581.0391,NA,NA,NA,NA,NA,3573.168523,1929.625067,1502.06067,16915.80061,835.6249959,13836.83771,269485.1224,15164.3232,514711.7548,NA,NA,17744.31791,232325.7998,5244.977434,11077.09024,13753.02526,20054.99941,332084.1062,3215.143146,55169.89578,901754.6596,118681.7623,1814918.743,NA,NA,363309.5531,788288.057,55978.88477,25833.63593,49343.5762,77163.43508,1324077.499
41,41,605058,5048473,40,0,0,NA,NA,7727.612563,NA,NA,105.7145348,NA,NA,22.09336243,98.79994834,0,0,1.078065041,16.41942759,360.8994697,NA,25370.85646,NA,NA,6004.080674,NA,NA,100.1686005,349.4555785,25.87356207,394.0662722,20.59520033,506.0708765,2705.613349,4396.148621,84229.51925,NA,8734.244327,28221.12686,NA,NA,584.2947975,1829.899621,494.2847938,12145.70112,92.43039418,1786.130857,27477.84031,50673.14957,434762.9519,NA,178358.7569,107277.3385,14118.97628,NA,4628.924414,10078.65086,2218.32947,42867.14097,644.8223899,9026.427067,95105.1026,94681.14718,1798997.382,NA,886662.1734,281127.0916,79709.20597,NA,16257.48535,36060.88046,15475.73734,216634.2501
42,42,604438,5047465,41,0,0,NA,NA,6553.454458,NA,1279.872639,NA,NA,NA,12.33612299,107.9719173,0,0,23.71901359,69.28911821,NA,87.73026317,22573.93693,NA,8713.269935,NA,NA,NA,84.1650448,435.5571255,569.2563131,1662.938837,347.6001386,1046.428552,NA,5763.023934,76937.71317,NA,38950.94403,3929.357916,NA,NA,443.5960736,1917.515812,8342.403603,25114.28556,1067.41103,6636.148215,19519.3925,42069.93548,426095.168,NA,262077.7866,46586.46177,8361.821352,NA,3223.770332,9215.567481,25617.86512,159267.5589,2550.354518,24885.97764,89888.77311,108984.636,1611385.486,17751.18658,1076203.486,240235.9745,62915.66313,23700.56801,11712.13912,34861.15218,61208.50917,597263.4676
43,43,606373,5047029,42,3.286390282,55.53872281,842.2678211,13.11771888,3263.211179,NA,NA,4556.9982,NA,NA,44.00739626,139.8333651,78.87336823,1332.92936,7.335500568,117.6405935,3458.81669,120.7801886,14288.38762,NA,NA,16965.76933,NA,NA,189.514508,363.666323,176.0520188,2823.374274,20.53543006,319.5679956,11359.46666,32315.89884,46544.70574,NA,NA,45542.45093,1177.983541,NA,739.9719466,1151.281482,492.8503345,7669.631977,277.333204,4059.764793,84075.10291,282447.909,350583.0123,NA,10349.81467,74706.73902,67103.69817,NA,4705.966005,7550.337866,6655.996913,97434.35536,2391.623616,22674.01303,331439.9718,887156.2857,1561844.025,218198.9534,10349.81467,206382.24,257245.6819,NA,19107.49396,38646.2885,57398.96692,544176.31
44,44,607354,5045567,43,33.34354195,578.2918936,669.7530352,1655.408016,6177.919082,NA,NA,NA,NA,NA,22.74667787,365.9863859,800.2450025,13879.00569,89.46236779,1232.862603,3401.07471,7933.862002,23441.07513,NA,NA,NA,NA,NA,75.09203013,994.9325938,2147.096804,29588.70274,359.7700441,6293.228011,11211.13486,52646.2025,72934.83656,NA,NA,NA,NA,NA,317.2898674,3095.603337,8634.481215,151037.4725,4354.45669,73058.42516,99564.60049,271501.7082,334506.5429,125610.9273,NA,9159.685043,44412.30986,NA,3671.650396,14309.32226,104506.9605,1753402.186,10894.22349,171750.3172,351905.3237,781395.9982,1225584.716,556785.5933,2584.043929,264285.487,310541.1615,NA,17905.53249,45155.80855,261461.3628,4122007.595
45,45,608903,5046136,44,5.067963195,92.94884227,2846.873922,NA,3293.174303,NA,NA,NA,4540.152795,NA,62.39126669,162.6095623,121.6311163,2230.772203,10.09124695,166.5532003,11624.03246,15.82104157,14475.48663,NA,NA,NA,16883.62946,NA,261.1614705,390.4484199,242.1899237,3997.276761,187.7536755,3075.282548,31823.40483,4062.86194,76516.85879,NA,NA,NA,45001.31833,NA,1186.094671,2091.831152,4506.088298,73806.78109,3926.181978,55776.7857,107454.3189,59991.83304,562034.6616,9860.020478,NA,37334.11319,115970.5449,NA,6784.644518,17005.27671,94228.36981,1338642.862,9955.636706,150909.467,538267.7498,305300.8605,2325671.725,211758.5845,NA,80943.8012,217502.0287,NA,26209.54879,60827.92954,238935.2819,3621827.213
46,46,608885,5043459,45,3.696954942,14.68829357,2263.064153,NA,7833.327098,NA,NA,NA,NA,NA,82.23956233,99.67055818,88.72691654,352.5190362,20.86927249,89.37153826,9215.396047,NA,30359.75804,NA,NA,NA,1015.179095,NA,330.9712202,364.1265278,500.8625186,2144.91686,156.2000605,1467.419571,47649.49095,NA,98177.82402,NA,NA,NA,27403.21504,NA,1409.227553,2018.480375,3748.801359,35218.06953,898.1734166,7444.191905,274336.2377,871.5053049,700763.8625,NA,NA,3341.505985,80214.29941,NA,9897.475579,12282.03193,21556.16163,178660.6056,3385.234636,42628.53185,987461.0416,52127.28522,2535820.669,212587.797,NA,116774.492,223866.7573,NA,34293.01192,53032.41991,81245.63101,1023084.766
47,47,607579,5043481,46,19.01254519,264.545606,3164.011927,893.1788436,6495.595435,NA,NA,222.2764159,222.2764035,NA,81.13610753,273.2134888,456.301093,6349.094593,48.32344869,602.8526038,8686.740901,2292.262305,21046.773,NA,NA,4020.04545,4015.856381,NA,284.342939,755.9999509,1159.762778,14468.46263,111.8007964,1358.938003,34985.31668,4895.247228,74222.42705,NA,NA,23587.90246,22875.46233,NA,1116.396349,2253.911016,2683.21911,32614.5123,443.6001585,5511.551843,229483.0221,23904.04527,474577.3896,19481.49494,NA,176842.2909,90385.9524,NA,7571.834669,12091.62523,10646.40386,132277.2443,2458.333125,29040.92122,952821.9498,44842.29063,2035243.716,219698.7095,NA,462912.2077,354092.3227,24387.75382,33274.1189,51213.51932,58999.99476,696982.1096
48,48,607393,5042024,47,1.539571119,19.25894366,NA,NA,7833.327098,NA,NA,NA,NA,NA,17.55549098,117.9706362,36.94970547,462.2146422,13.06943235,166.1785904,2760.336847,54.09099513,26604.92467,4715.921464,NA,NA,NA,NA,98.7930399,367.3811991,313.6663646,3988.286122,217.9697352,3213.421205,17989.68579,3796.970619,89877.79854,10430.92088,NA,NA,NA,21475.34901,641.1825805,2711.630519,5231.273647,77122.10875,1054.90677,16192.52271,141850.4259,52856.30819,433907.5783,204906.2305,NA,18661.87869,NA,74859.17745,6535.821599,13030.47294,25317.76233,388620.5486,3102.366183,41541.51049,627119.248,140091.3344,2053128.214,578944.1825,NA,109702.5989,184451.493,74859.17745,27882.98353,51895.74817,74456.78765,996996.2559
49,49,608908,5041964,48,8.042792848,43.30787696,3100.180021,NA,7833.327098,NA,NA,NA,NA,NA,123.7527313,98.90323272,193.0270304,1039.389067,47.85339318,401.8082595,11287.47005,NA,31374.93713,NA,NA,NA,NA,NA,522.6644755,523.2062588,1148.481458,9643.39838,153.2183868,1153.343689,42527.82138,NA,122890.0759,NA,NA,2531.617682,159.3454686,NA,2249.328555,1877.162192,3677.241352,27680.24856,654.8251635,5631.18077,233145.7333,926.8981233,671662.4785,543.8231817,2853.74278,23986.72709,85217.50353,NA,12734.42469,11823.55848,15715.80408,135148.3384,2807.900614,41785.95642,824593.6942,68993.31136,2394379.941,337860.1579,3744.202709,109172.51,227026.8642,NA,31646.41172,51410.17927,67389.61492,1002862.955
50,50,608206,5040690,49,0.464359752,4.036167941,2449.249509,NA,4384.886529,NA,NA,NA,3448.440569,NA,113.172376,99.75953954,11.14463367,96.86803057,32.6279993,787.3767033,5055.831266,621.6438851,18282.66627,NA,NA,NA,12470.62698,NA,405.3362452,457.674264,783.0719915,18897.04081,125.0870798,3399.674318,9898.044601,1919.761897,85529.07751,NA,NA,594.3179732,37537.88168,NA,998.8009557,2100.666344,3002.089934,81592.18334,541.3699507,10952.29182,73149.5827,3643.458116,493315.2025,12453.72531,55.53785922,52019.38422,223703.8652,NA,4310.951489,9577.971773,12992.87881,262855.0025,1779.766418,29620.532,338642.0852,27161.51773,1930712.049,16624.96933,2396.812196,255166.6342,873665.3516,35449.66589,20180.25236,38453.7833,42714.39405,710892.7679
51,51,606882,5040044,50,3.083100156,13.03870058,NA,NA,4267.114298,NA,NA,3566.212799,NA,NA,30.59054011,99.64524406,73.99440443,312.928814,9.188943957,44.68981754,1494.979802,NA,16389.28837,NA,NA,14985.64876,NA,NA,193.9870536,325.7876465,220.5346551,1072.555612,44.55879948,369.9565239,14330.93099,NA,62706.96131,NA,NA,49032.86857,13841.20918,NA,1420.694822,1571.121656,1069.411212,8878.956585,329.1922371,3251.285665,161410.2132,1895.791102,426576.7107,128128.6875,NA,129400.4312,96827.23261,2362.32002,9443.043305,9967.438363,7900.613647,78030.85588,1598.660389,20082.05819,579015.0474,27374.07178,2046883.251,319600.9936,NA,184546.6357,476196.6324,86575.41566,33572.88992,43102.57188,38367.84927,481969.3954
52,52,607869,5039039,51,3.715276416,52.7690401,346.2337977,NA,2026.82639,NA,NA,5806.500708,NA,NA,68.54324015,151.795417,89.16663351,1266.456986,19.91736857,310.9292501,6777.22273,NA,15916.98973,NA,NA,14956.82307,501.124328,NA,301.5450524,521.972566,478.0168452,7462.30215,150.6209593,3006.774052,29962.36785,3553.41164,62385.36561,35.99847353,NA,24404.24587,24543.08916,10658.92831,1055.318427,2816.667786,3614.903041,72162.57754,646.6725637,8957.28398,141386.1697,13605.20603,352509.3744,523.6491498,NA,133138.4897,268802.5896,16611.86437,6464.164415,10003.86433,15520.14164,214974.8161,1804.920914,21799.38078,470540.7132,35610.34215,1468841.012,523.6491498,NA,590225.39,1029364.743,16611.86437,24897.20352,35710.40832,43318.10224,523185.1385
53,53,607434,5037513,52,0.40203529,5.573808879,NA,NA,7833.327098,NA,NA,NA,NA,NA,59.53281207,99.8155241,9.648848125,133.7714131,245.7965985,1483.656106,NA,2868.139663,28506.79747,NA,NA,NA,NA,NA,251.9398324,738.8971331,5899.117992,35607.74694,1201.559335,8723.595083,10051.26353,15142.65521,107462.9084,NA,NA,NA,2975.475416,NA,1375.524943,2991.426726,28837.42281,209366.2826,3765.954729,39833.14842,106097.8402,50132.82113,649386.3429,NA,NA,9370.007715,76302.0014,NA,7866.605568,15802.00671,90382.91273,955995.5641,8989.041653,103768.6478,302366.0892,98383.19224,2374322.446,NA,NA,81551.25158,586920.1106,NA,28513.41922,52963.63565,215736.9998,2490447.547
54,54,605871,5038473,53,8.469187526,89.5500294,535.2235507,NA,7833.327098,NA,NA,NA,NA,NA,63.5010723,186.6777073,203.2605021,2149.200696,242.6422048,2072.029322,3285.14276,2636.67289,27791.14688,NA,NA,NA,947.1173641,NA,261.3471476,814.0948574,5823.412718,49728.70453,1392.104648,10839.33405,10109.22868,15105.00108,95613.98815,NA,NA,1495.695748,13366.35408,NA,1101.790571,3231.036614,33410.51127,260144.0175,4091.746829,39627.89987,101798.2682,50691.94613,525696.4559,16821.31517,NA,65186.41132,76319.83537,50475.20924,7010.489723,14528.97883,98201.92454,951069.5943,9288.417461,97817.78082,443604.3566,131675.5469,2234763.838,365338.7882,NA,168445.6591,182988.7793,57953.19908,27498.45855,50321.54741,222922.0183,2347626.728
55,55,604386,5039652,54,148.9601381,2302.523868,1119.570887,2155.42447,2789.158302,2888.744325,NA,NA,NA,NA,3.468192211,322.5326118,3575.043508,55260.57291,718.8810556,12528.33156,4661.96853,13567.7921,9904.705861,7902.439168,NA,NA,NA,NA,13.8911999,1127.49789,17253.1458,300679.9553,2001.759121,43673.47662,27040.19476,61956.93076,36631.93396,26992.17433,NA,NA,NA,NA,64.7205311,3770.613345,48042.22005,1048163.442,6762.396304,124792.5354,151968.4794,349291.1606,221642.55,182864.4687,NA,7350.257106,NA,24042.73677,1219.021801,17411.89108,162297.5118,2995020.858,13594.14217,198248.1295,630846.9866,811823.3673,922619.4108,1017174.99,NA,297983.435,38710.90873,52864.88834,7856.275539,48109.49262,326259.4138,4757955.115
56,56,605165,5041810,55,304.2689371,2251.641026,820.365418,3326.618557,4506.708541,NA,NA,NA,NA,NA,70.92990497,358.796513,7302.454571,54039.38462,816.7327799,6613.743712,2744.512966,8118.37554,15197.44553,5214.022967,NA,2845.093094,NA,NA,219.3916934,1173.826536,19601.58695,158729.8495,1722.213639,15395.44449,19373.21721,19354.08941,62356.19036,38970.95872,NA,4899.800566,NA,NA,635.0119169,3343.052807,41333.12796,369490.6686,4603.565178,52749.17903,110779.3938,58046.54314,394934.641,322765.1761,NA,9444.812899,NA,NA,2511.690307,15827.3424,110485.5656,1265980.295,12504.48999,162452.9589,544237.0454,192361.6187,1618398.125,1158367.427,NA,48317.45338,41555.48579,82176.89016,7847.080085,53832.53664,300107.7625,3898871.008
