,ID,X,Y,ORIG_FID,Av_NOx_50m,Av_traffic_50m,Building_50m,Open Area_50m,Residential_50m,Resource and Industrial_50m,Waterbody_50m,Parks and Recreational_50m,Government and Institutional_50m,Commercial_50m,Pop_50m,Roads_50m,Tot_NOx_50m,Tot_traffic_50m,Av_NOx_100m,Av_traffic_100m,Building_100m,Open Area_100m,Residential_100m,Resource and Industrial_100m,Waterbody_100m,Parks and Recreational_100m,Government and Institutional_100m,Commercial_100m,Pop_100m,Roads_100m,Tot_NOx_100m,Tot_traffic_100m,Av_NOx_200m,Av_traffic_200m,Building_200m,Open Area_200m,Residential_200m,Resource and Industrial_200m,Waterbody_200m,Parks and Recreational_200m,Government and Institutional_200m,Commercial_200m,Pop_200m,Roads_200m,Tot_NOx_200m,Tot_traffic_200m,Av_NOx_500m,Av_traffic_500m,Building_500m,Open Area_500m,Residential_500m,Resource and Industrial_500m,Waterbody_500m,Parks and Recreational_500m,Government and Institutional_500m,Commercial_500m,Pop_500m,Roads_500m,Tot_NOx_500m,Tot_traffic_500m,Av_NOx_1000m,Av_traffic_1000m,Building_1000m,Open Area_1000m,Residential_1000m,Resource and Industrial_1000m,Waterbody_1000m,Parks and Recreational_1000m,Government and Institutional_1000m,Commercial_1000m,Pop_1000m,Roads_1000m,Tot_NOx_1000m,Tot_traffic_1000m
98,100,589317,5034047,97,15.3011356,111.7119899,1239.881726,7833.327098,NA,NA,NA,NA,NA,NA,13.0865065,109.9779367,367.2272432,2681.087745,41.33140309,300.5225183,5469.279111,30936.74831,NA,NA,NA,NA,NA,438.1888261,52.41557176,539.4998551,991.9536555,7212.540393,628.5139521,5466.263037,7442.402272,102951.224,4329.944565,NA,NA,NA,NA,18299.87047,194.1912474,3275.641545,15084.33451,131190.3115,2346.097759,27319.28271,41163.99615,321903.6174,188888.5632,194030.4935,NA,NA,NA,80368.49896,1147.231427,15316.26309,56306.34702,655662.7833,5058.158982,43628.12234,181241.1159,440299.9773,1485571.3,938682.6954,NA,82958.10009,44.1303928,193620.7974,5641.591167,45941.49089,121395.816,1047074.937
99,101,587539,5034402,98,1.280238761,23.78757703,NA,68.25508948,6122.489699,NA,NA,839.4580015,803.1243073,NA,28.48278349,198.7822129,30.72573141,570.9018463,5.235821479,77.90935382,NA,90.01328058,24224.81201,NA,NA,4585.928359,2474.18348,NA,117.5307969,584.8173126,125.6597177,1869.824479,22.55508666,317.4603454,NA,253.5476134,96220.51289,NA,NA,16365.20575,12741.77281,NA,472.3784233,1916.82279,541.3220835,7619.048232,107.6512017,1187.59542,NA,1209.673203,671153.2669,NA,NA,27870.27717,84957.95591,NA,2945.938439,10946.03079,2583.628823,28502.29005,608.4020136,6669.547252,17490.45737,62525.27046,2775339.067,118.9476179,4691.376631,156480.3897,131234.336,10787.61252,11554.02211,45095.84316,14601.64817,160069.133
100,102,584403,5034740,99,0.286383763,9.85172673,NA,73.33872067,2842.332124,NA,NA,4917.656253,NA,NA,3.453327284,180.2756977,6.873210437,236.4414418,6.384733366,109.4530893,NA,7153.980131,6450.581018,NA,NA,17770.37598,NA,NA,14.57002414,446.2528147,153.2336085,2626.874198,18.84403917,335.9134957,1574.342133,45002.94257,13558.79562,NA,NA,67019.30088,NA,NA,59.80270114,929.0497894,452.2569549,8061.924051,64.78568149,577.6655618,2259.3626,302044.7967,59685.3329,NA,118157.3845,305303.659,NA,NA,331.3569101,3013.878876,1554.856403,13863.97374,130.375191,963.9192164,3352.268127,1217149.957,138091.1913,NA,741383.7934,1044552.058,NA,NA,1212.996444,8423.178663,3129.004704,23134.06166
101,103,583841,5030716,100,2.340499462,47.46973312,NA,NA,570.4734189,5974.063278,NA,NA,1288.7904,NA,0.9538895,90.30383431,56.17198854,1139.273566,11.54230982,118.4175333,NA,NA,8190.217032,16460.92271,NA,NA,6723.797388,NA,3.820627267,299.8847949,277.0154529,2842.020778,26.00132386,231.5380329,8058.012207,NA,48734.39728,47478.63684,NA,NA,29368.00494,NA,15.29240808,615.6235142,624.0318142,5556.91278,977.5364741,1570.087814,15151.62332,48605.7501,410331.0479,135442.7977,NA,3579.113709,187232.4637,NA,103.2589335,5835.568237,23460.87647,37682.10819,2712.515569,9846.582616,15151.62332,743309.3726,1318346.46,247225.2782,4746.302933,357854.6598,469694.9268,NA,540.24082,19700.09721,65100.3761,236317.9842
102,104,581894,5029276,101,3.462607626,18.32716382,NA,NA,3959.217222,NA,NA,NA,3874.109876,NA,3.307729068,99.86744511,83.10258802,439.8519316,6.969744876,36.85052133,NA,NA,15772.58699,NA,NA,NA,15602.35014,NA,13.24849458,330.1730484,167.273887,884.4125119,41.50571878,481.6731893,868.2225428,5872.434422,63170.07192,NA,NA,NA,56538.53271,NA,62.6046055,1461.271744,996.1372524,11560.15632,570.1655183,4177.401279,12455.88148,159105.0034,267847.9406,23521.9921,NA,28867.06141,305849.1756,NA,660.8077269,10478.41724,13683.97264,100257.63,2835.862253,30188.48972,37810.91516,511633.511,643049.949,52637.49871,475999.4926,516733.7686,941122.7803,NA,2694.345458,31480.81341,68060.6947,724523.7596
103,105,587494,5032504,102,15.26867323,693.6579634,NA,2949.291487,4884.035611,NA,NA,NA,NA,NA,14.43081704,197.812371,366.4481536,16647.79139,159.4505807,2305.730514,NA,13854.01007,17520.92706,NA,NA,NA,NA,NA,57.32635981,948.1629788,3826.814068,55337.53282,612.6994793,6019.584799,1581.025122,48815.13303,64923.92509,11841.98094,NA,NA,NA,NA,212.4052893,3180.79474,14704.78757,144470.0365,1714.93538,13150.10764,17666.55015,168272.6934,424812.6831,177029.1438,NA,15076.65281,NA,NA,1370.414767,12704.97877,41158.44897,315602.5853,3572.750996,23141.94093,87652.09323,301694.9542,2042942.473,530268.9216,4149.88703,228051.342,32744.95378,1324.468433,6271.487996,43178.40262,85746.02248,555406.587
104,106,589944,5031496,103,6.100213207,131.9513534,NA,NA,5686.16693,NA,NA,NA,406.4396369,1740.72053,15.08399013,187.2417808,146.4051179,3166.832488,16.77952298,259.3282416,933.9193104,326.3129749,19110.36965,NA,NA,NA,4365.955282,7572.299227,57.96221918,560.6749054,402.7085654,6223.877748,62.63335448,867.9082697,11077.81454,326.3129749,74363.93502,NA,NA,NA,21418.3461,29472.44496,224.4724806,1712.293839,1503.200582,20829.79847,1269.278451,15141.23142,26516.62546,83881.76854,498245.8963,NA,101061.5309,690.5124159,43714.36423,57597.10073,1105.292243,11181.68215,30462.68174,363389.5568,3098.454803,26124.48427,79240.22535,206995.5415,1833300.209,NA,733939.8495,37571.5538,236575.2625,92794.58354,4209.829495,37058.46789,74362.91415,626987.6253
105,107,592609,5032047,104,1.455733182,13.79633888,NA,51.62271578,5859.926282,NA,NA,NA,1921.7781,NA,14.41208955,98.87907568,34.93759297,331.1121313,3.165577933,34.47549422,1733.592058,200.3434605,24154.79804,NA,NA,NA,7019.795636,NA,57.72494852,260.9905385,75.97386379,827.4118566,38.9389499,489.6814437,2894.93038,446.4309979,90672.84246,NA,NA,6794.850399,27666.91521,NA,229.6999647,1167.213359,934.5348019,11752.35471,212.0721752,2342.086481,4198.464862,24047.50159,625597.9549,NA,79134.00561,27312.73764,29098.97341,NA,1377.329362,8480.589879,5089.732158,56210.07593,2701.48807,29315.54004,46315.37231,234711.5892,1791532.157,14249.63243,748020.547,309178.0502,29098.97341,14386.05058,4676.962274,35078.57381,64835.71347,703572.9553
106,108,595397,5033532,105,41.27101538,696.547803,746.2131208,408.7208238,4913.218532,NA,NA,NA,2511.387742,NA,37.43994501,324.6223806,990.5043408,16717.14723,284.7853601,3582.728899,1530.339105,9401.96929,12933.49444,NA,NA,NA,9039.4734,NA,142.4915747,1080.722443,6834.848608,85985.4927,679.0497676,8070.470935,3507.506175,43287.62526,60350.1181,1777.38766,NA,NA,20165.90804,NA,533.3442427,3122.928061,16297.19462,193691.3012,1841.323298,16370.48994,21226.42046,132842.4579,449348.7979,43165.52305,116041.4407,12126.2777,31666.67592,NA,2326.806206,14137.61899,44191.76045,392891.7556,3698.248504,24620.99497,67027.13657,229567.4614,1770547.432,48767.8114,832869.277,72895.59659,169322.4211,17206.99946,6321.311693,41374.36906,88757.96372,590903.8752
107,109,596441,5032672,106,0,0,NA,NA,7833.327098,NA,NA,NA,NA,NA,19.45233209,148.9799368,0,0,1.86315469,14.3617299,NA,63.65805644,31311.27908,NA,NA,NA,NA,NA,73.97723812,562.5242881,44.7157127,344.6815288,4.827397547,40.9509634,NA,101.3754769,103746.8993,NA,21313.34029,419.4239704,NA,NA,243.9054197,1654.295062,115.8575432,982.8231538,30.00193419,408.258272,7349.170022,1557.383946,427142.5864,NA,284528.1671,53824.64377,18138.39192,NA,1271.239649,7715.481767,720.0464246,9798.198558,1574.032986,7192.338404,30213.27046,67541.43206,1351533.663,NA,1417788.641,285991.9315,18138.39192,182.9413721,4080.119427,27256.53778,37776.79318,172616.1205
