"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Resource.and.Industrial_100m","Waterbody_100m","Parks.and.Recreational_100m","Government.and.Institutional_100m","Commercial_100m","Pop_100m","Roads_100m","Tot_NOx_100m","Tot_traffic_100m"
594465,5039306,93,7.647802053,45.10872518,3763.456825,0,31374.93713,0,0,0,0,0,53.83195101,400.4568668,183.5472603,1082.609403
593886,5037662,94,76.49602297,280.3603117,5501.276902,3183.91474,0,0,0,0,0,28191.02239,37.45988073,388.194105,1835.904401,6728.647343
591854,5035898,95,31.73779864,470.4404263,9792.304306,1449.441058,0,29063.69546,0,0,0,861.8006093,8.950028823,475.6589136,761.7071976,11290.57028
590622,5036854,96,92.56012895,355.8809536,4102.017745,2758.672354,21354.56417,7261.700605,0,0,0,0,207.5471063,371.1987126,2221.443037,8541.142979
591857,5039443,97,8.906288994,200.9458693,0,314.6861948,31060.25094,0,0,0,0,0,94.73952707,611.2106134,213.750937,4822.700992
588421,5037001,99,0.100365479,1.949880195,2232.49167,0,20881.69118,0,0,0,10493.24595,0,114.455979,377.518334,2.408771467,46.79712575
589317,5034047,100,41.33140309,300.5225183,5469.279111,30936.74831,0,0,0,0,0,438.1888261,52.41557176,539.4998551,991.9536555,7212.540393
587539,5034402,101,5.235821479,77.90935382,0,90.01328058,24224.81201,0,0,4585.928359,2474.18348,0,117.5307969,584.8173126,125.6597177,1869.824479
584403,5034740,102,6.384733366,109.4530893,0,7153.980131,6450.581018,0,0,17770.37598,0,0,14.57002414,446.2528147,153.2336085,2626.874198
583841,5030716,103,11.54230982,118.4175333,0,0,8190.217032,16460.92271,0,0,6723.797388,0,3.820627267,299.8847949,277.0154529,2842.020778
581894,5029276,104,6.969744876,36.85052133,0,0,15772.58699,0,0,0,15602.35014,0,13.24849458,330.1730484,167.273887,884.4125119
587494,5032504,105,159.4505807,2305.730514,0,13854.01007,17520.92706,0,0,0,0,0,57.32635981,948.1629788,3826.814068,55337.53282
589944,5031496,106,16.77952298,259.3282416,933.9193104,326.3129749,19110.36965,0,0,0,4365.955282,7572.299227,57.96221918,560.6749054,402.7085654,6223.877748
