"X","Y","ID","Building_100m","Government.and.Institutional_1000m","Residential_1000m","Pop_1000m","Roads_1000m","Tot_NOx_1000m","Ethylbenzene"
609895,5048005,24,2702.402685,150637.7056,1890387.942,22364.23866,56733.3799,221701.0625,3.68988530508679
610397,5045474,33,1413.08721,369647.3266,2391253.061,31115.19399,49612.89372,59832.23248,3.19008937095578
610432,5055978,13,0,163737.6298,2164491.987,11377.03209,39407.86342,16027.57294,1.51029390271596
610435,5054487,12,2420.968449,21968.59086,2372567.169,14000.07905,47195.89954,34939.85872,2.64647677349574
610439,5042987,36,4599.671677,182821.4821,2331305.359,39196.88347,62624.69609,87667.46033,2.38519908739912
610447,5048850,25,4345.928003,209074.8685,2092559.363,23756.24944,55190.24741,194167.3037,3.48452092841228
610552,5041122,68,515.8256849,540606.4925,1595481.201,26891.23105,42855.72403,77382.95784,3.51262959715914
610798,5032507,77,1796.462848,734138.843,738570.4704,6095.214836,17052.14524,15262.7855,2.31707614043693
610850,5043971,35,7514.614707,121292.3182,2312261.631,33337.75242,54721.56356,89627.85808,2.54748472704529
610863,5035505,75,2722.560129,277910.7136,1685217.231,21740.42168,52372.11425,108239.7568,2.68460633750717
611121,5056351,14,34.70597096,153246.3903,2405516.027,11495.90861,45187.23956,15559.63137,2.10827800364983
611350,5046538,26,9098.988476,220295.3112,1778696.977,24662.9856,41940.03046,53219.64237,3.31923654246756
611375,5042442,37,8338.567121,291786.7251,2332712.898,39988.40297,60044.53065,90943.63382,2.74546322091421
611386,5040458,40,12935.15005,788288.057,1814918.743,25833.63593,49343.5762,77163.43508,2.09095526539568
611739,5050874,11,0,68317.44908,1354066.317,14337.71828,54444.31834,241211.0816,2.09673401128839
611853,5034005,76,7280.575762,118405.7529,1549780.253,23201.50531,31012.16578,25165.33221,2.60950368464098
611945,5038524,70,7225.355588,123758.8933,1509894.953,20352.56012,64370.39735,219515.1761,2.0359046082455
612311,5036424,73,1904.307784,185555.36,1288872.513,18292.90337,44582.43924,94632.69703,3.99350988478602
612419,5048498,27,194.0848438,539556.3042,2178655.608,21846.39712,50394.69154,43700.16499,3.41777026833578
612444,5035457,74,3739.445977,111685.0804,1606476.199,22453.78918,36750.78124,44842.18751,2.02190679264893
612509,5044008,32,4653.230163,194289.7227,2071876.7,29838.3346,46985.88752,51299.86502,2.58173602544675
612808,5042073,38,9110.478188,399670.7253,1993418.651,27366.76152,61884.45003,164858.1674,1.463778772911
612886,5045388,31,6842.715856,182224.5307,1728764.979,28598.93555,42621.9535,49894.05707,2.73859639634356
612985,5040479,39,8866.596766,252145.9402,1363841.081,13858.62906,53142.26143,116578.1456,2.0032239073046
613141,5043494,67,8875.587667,236278.73,1784981.649,25401.09887,48219.75749,65652.59726,2.24085813648689
613467,5049945,9,3134.444149,258035.9733,1546153.423,12922.50686,47272.98507,132717.3361,2.13461325812006
613827,5048033,28,4618.288279,458573.2657,1862936.078,19260.62265,46917.31162,45492.52883,2.89948775099379
613888,5044500,30,9556.52711,222273.0172,1746782.911,26320.47456,47088.67961,52349.23951,2.57771749220215
614386,5051540,7,4078.20481,237032.1183,2095906.325,20304.91155,47174.70409,24702.98228,3.16299543736862
614806,5049373,8,2443.581114,296217.2186,1554526.239,11742.76656,53978.73887,143134.0595,2.59642551001935
614916,5046032,29,3042.221032,66739.79475,702252.7833,11281.03215,24348.4531,29655.04437,2.11157088581682
615939,5051836,5,4791.536021,46175.49407,1173959.654,11345.52187,28620.94245,8614.099799,2.94700628633363
616013,5050797,6,2903.95133,96912.2556,1503684.778,15423.4919,34199.01413,12579.29823,2.17800856858685
616383,5056023,3,0,157190.1133,2240345.424,11822.42438,46171.33661,23786.77943,1.21862690569855
616408,5053084,4,0,0,159789.2903,1319.945442,10253.97291,4851.509451,1.2643202270264
616901,5058029,2,4366.418962,211722.2753,2183387.957,12216.03165,40040.7269,19105.32884,2.10891143569883
617016,5055277,1,0,185166.7582,2070869.141,12867.01257,45150.95258,12423.6886,2.29612072070318
